medal_type,medal_code,name,gender,nationality,discipline,event,code_athlete
Silver Medal,2,SUN Yingsha,Female,China,Table Tennis,Women's Singles,1902313
Bronze Medal,3,HAYATA Hina,Female,Japan,Table Tennis,Women's Singles,1931100
Bronze Medal,3,MUSETTI Lorenzo,Male,Italy,Tennis,Men's Singles,1562400
Gold Medal,1,ZHENG Qinwen,Female,China,Tennis,Women's Singles,1927709
Silver Medal,2,VEKIC Donna,Female,Croatia,Tennis,Women's Singles,1554972
Gold Medal,1,KIM Woojin,Male,Korea,Archery,Men's Individual,1902135
Silver Medal,2,ELLISON Brady,Male,United States,Archery,Men's Individual,1955595
Bronze Medal,3,LEE Wooseok,Male,Korea,Archery,Men's Individual,1902144
Gold Medal,1,LIU Yang,Male,China,Artistic Gymnastics,Men's Rings,1918856
Silver Medal,2,ZOU Jingyuan,Male,China,Artistic Gymnastics,Men's Rings,1918865
Bronze Medal,3,PETROUNIAS Eleftherios,Male,Greece,Artistic Gymnastics,Men's Rings,1961314
Gold Medal,1,YULO Carlos Edriel,Male,Philippines,Artistic Gymnastics,Men's Vault,1975874
Silver Medal,2,DAVTYAN Artur,Male,Armenia,Artistic Gymnastics,Men's Vault,1915828
Bronze Medal,3,HEPWORTH Harry,Male,Great Britain,Artistic Gymnastics,Men's Vault,1904740
Gold Medal,1,NEMOUR Kaylia,Female,Algeria,Artistic Gymnastics,Women's Uneven Bars,1545688
Silver Medal,2,QIU Qiyuan,Female,China,Artistic Gymnastics,Women's Uneven Bars,1918872
Bronze Medal,3,LEE Sunisa,Female,United States,Artistic Gymnastics,Women's Uneven Bars,1959866
Gold Medal,1,LYLES Noah,Male,United States,Athletics,Men's 100m,1960173
Silver Medal,2,THOMPSON Kishane,Male,Jamaica,Athletics,Men's 100m,1980161
Bronze Medal,3,KERLEY Fred,Male,United States,Athletics,Men's 100m,1960958
Gold Medal,1,KATZBERG Ethan,Male,Canada,Athletics,Men's Hammer Throw,1974151
Silver Medal,2,HALASZ Bence,Male,Hungary,Athletics,Men's Hammer Throw,1916814
Bronze Medal,3,KOKHAN Mykhaylo,Male,Ukraine,Athletics,Men's Hammer Throw,1571563
Gold Medal,1,MAHUCHIKH Yaroslava,Female,Ukraine,Athletics,Women's High Jump,1571559
Silver Medal,2,OLYSLAGERS Nicola,Female,Australia,Athletics,Women's High Jump,1939838
Bronze Medal,3,GERASHCHENKO Iryna,Female,Ukraine,Athletics,Women's High Jump,1571577
Bronze Medal,3,PATTERSON Eleanor,Female,Australia,Athletics,Women's High Jump,1939763
Bronze Medal,,TUNJUNG Gregoria Mariska,Female,Indonesia,Badminton,Women's Singles,1926315
Bronze Medal,3,ALCANTARA REYES Yunior,Male,Dominican Republic,Boxing,Men's 51kg,1908817
Bronze Medal,3,de PINA David,Male,Cabo Verde,Boxing,Men's 51kg,1892464
Bronze Medal,3,SANFORD Wyatt,Male,Canada,Boxing,Men's 63.5kg,1972293
Bronze Medal,3,GURULI Lasha,Male,Georgia,Boxing,Men's 63.5kg,1550184
Bronze Medal,3,PINALES Cristian Javier,Male,Dominican Republic,Boxing,Men's 80kg,1943368
Bronze Medal,3,LOPEZ CARDONA Arlen,Male,Cuba,Boxing,Men's 80kg,1555548
Bronze Medal,3,REYES PLA Enmanuel,Male,Spain,Boxing,Men's 92kg,1934790
Bronze Medal,3,BOLTAEV Davlat,Male,Tajikistan,Boxing,Men's 92kg,1909011
Bronze Medal,3,PANG Cholmi,Female,DPR Korea,Boxing,Women's 54kg,1980125
Bronze Medal,3,IM Aeji,Female,Korea,Boxing,Women's 54kg,1891890
Gold Medal,1,FAULKNER Kristen,Female,United States,Cycling Road,Women's Road Race,1955081
Silver Medal,2,VOS Marianne,Female,Netherlands,Cycling Road,Women's Road Race,1969165
Bronze Medal,3,KOPECKY Lotte,Female,Belgium,Cycling Road,Women's Road Race,1903120
Gold Medal,1,von BREDOW-WERNDL Jessica,Female,Germany,Equestrian,Dressage Individual,1914905
Silver Medal,2,WERTH Isabell,Female,Germany,Equestrian,Dressage Individual,1914909
Bronze Medal,3,FRY Charlotte,Female,Great Britain,Equestrian,Dressage Individual,1970905
Gold Medal,1,SCHEFFLER Scottie,Male,United States,Golf,Men's Individual Stroke Play,1951724
Silver Medal,2,FLEETWOOD Tommy,Male,Great Britain,Golf,Men's Individual Stroke Play,1923629
Bronze Medal,3,MATSUYAMA Hideki,Male,Japan,Golf,Men's Individual Stroke Play,1961406
Gold Medal,1,CROVETTO CHADID Francisca,Female,Chile,Shooting,Skeet Women,1937878
Silver Medal,2,RUTTER Amber Jo,Female,Great Britain,Shooting,Skeet Women,1977402
Bronze Medal,3,SMITH Austen Jewell,Female,United States,Shooting,Skeet Women,1944397
Gold Medal,1,FINKE Bobby,Male,United States,Swimming,Men's 1500m Freestyle,1935902
Silver Medal,2,PALTRINIERI Gregorio,Male,Italy,Swimming,Men's 1500m Freestyle,1925630
Bronze Medal,3,WIFFEN Daniel,Male,Ireland,Swimming,Men's 1500m Freestyle,1539969
Gold Medal,1,SJOESTROEM Sarah,Female,Sweden,Swimming,Women's 50m Freestyle,1572557
Silver Medal,2,HARRIS Meg,Female,Australia,Swimming,Women's 50m Freestyle,1946212
Bronze Medal,3,ZHANG Yufei,Female,China,Swimming,Women's 50m Freestyle,1945125
Gold Medal,1,FAN Zhendong,Male,China,Table Tennis,Men's Singles,1902295
Silver Medal,2,MOREGARD Truls,Male,Sweden,Table Tennis,Men's Singles,1563390
Bronze Medal,3,LEBRUN Felix,Male,France,Table Tennis,Men's Singles,1889177
Gold Medal,1,DJOKOVIC Novak,Male,Serbia,Tennis,Men's Singles,1956398
Silver Medal,2,ALCARAZ Carlos,Male,Spain,Tennis,Men's Singles,1563682
Gold Medal,1,OKA Shinnosuke,Male,Japan,Artistic Gymnastics,Men's Horizontal Bar,1919480
Silver Medal,2,BARAJAS Angel,Male,Colombia,Artistic Gymnastics,Men's Horizontal Bar,1935685
Bronze Medal,3,ZHANG Boheng,Male,China,Artistic Gymnastics,Men's Horizontal Bar,1918864
Bronze Medal,3,TANG Chia-Hung,Male,Chinese Taipei,Artistic Gymnastics,Men's Horizontal Bar,1878037
Gold Medal,1,ZOU Jingyuan,Male,China,Artistic Gymnastics,Men's Parallel Bars,1918865
Silver Medal,2,KOVTUN Illia,Male,Ukraine,Artistic Gymnastics,Men's Parallel Bars,1897555
Bronze Medal,3,OKA Shinnosuke,Male,Japan,Artistic Gymnastics,Men's Parallel Bars,1919480
Gold Medal,1,D'AMATO Alice,Female,Italy,Artistic Gymnastics,Women's Balance Beam,1551061
Silver Medal,2,ZHOU Yaqin,Female,China,Artistic Gymnastics,Women's Balance Beam,1918881
Bronze Medal,3,ESPOSITO Manila,Female,Italy,Artistic Gymnastics,Women's Balance Beam,1560762
Gold Medal,1,ANDRADE Rebeca,Female,Brazil,Artistic Gymnastics,Women's Floor Exercise,1953634
Silver Medal,2,BILES Simone,Female,United States,Artistic Gymnastics,Women's Floor Exercise,1959861
Bronze Medal,3,BARBOSU Ana,Female,Romania,Artistic Gymnastics,Women's Floor Exercise,1550170
Gold Medal,1,DUPLANTIS Armand,Male,Sweden,Athletics,Men's Pole Vault,1569203
Silver Medal,2,KENDRICKS Sam,Male,United States,Athletics,Men's Pole Vault,1960178
Bronze Medal,3,KARALIS Emmanouil,Male,Greece,Athletics,Men's Pole Vault,1961218
Gold Medal,1,CHEBET Beatrice,Female,Kenya,Athletics,Women's 5000m,1910560
Silver Medal,2,KIPYEGON Faith,Female,Kenya,Athletics,Women's 5000m,1910451
Bronze Medal,3,HASSAN Sifan,Female,Netherlands,Athletics,Women's 5000m,1972105
Gold Medal,1,HODGKINSON Keely,Female,Great Britain,Athletics,Women's 800m,1924429
Silver Medal,2,DUGUMA Tsige,Female,Ethiopia,Athletics,Women's 800m,1536498
Bronze Medal,3,MORAA Mary,Female,Kenya,Athletics,Women's 800m,1928047
Gold Medal,1,ALLMAN Valarie,Female,United States,Athletics,Women's Discus Throw,1960721
Silver Medal,2,FENG Bin,Female,China,Athletics,Women's Discus Throw,1919067
Bronze Medal,3,ELKASEVIC Sandra,Female,Croatia,Athletics,Women's Discus Throw,1922205
Gold Medal,1,AXELSEN Viktor,Male,Denmark,Badminton,Men's Singles,1888993
Silver Medal,2,VITIDSARN Kunlavut,Male,Thailand,Badminton,Men's Singles,1926294
Bronze Medal,3,LEE Zii Jia,Male,Malaysia,Badminton,Men's Singles,1566617
Gold Medal,1,AN Se Young,Female,Korea,Badminton,Women's Singles,1891498
Silver Medal,2,HE Bing Jiao,Female,China,Badminton,Women's Singles,1913436
Gold Medal,1,BUTCHER Finn,Male,New Zealand,Canoe Slalom,Men's Kayak Cross,1945386
Silver Medal,2,CLARKE Joseph,Male,Great Britain,Canoe Slalom,Men's Kayak Cross,1896032
Bronze Medal,3,HEGGE Noah,Male,Germany,Canoe Slalom,Men's Kayak Cross,1913780
Gold Medal,1,FOX Noemie,Female,Australia,Canoe Slalom,Women's Kayak Cross,1940209
Silver Medal,2,HUG Angele,Female,France,Canoe Slalom,Women's Kayak Cross,1880483
Bronze Medal,3,WOODS Kimberley,Female,Great Britain,Canoe Slalom,Women's Kayak Cross,1896045
Gold Medal,1,LI Yuehong,Male,China,Shooting,25m Rapid Fire Pistol Men,1913913
Silver Medal,2,CHO Yeongjae,Male,Korea,Shooting,25m Rapid Fire Pistol Men,1893852
Bronze Medal,3,WANG Xinjie,Male,China,Shooting,25m Rapid Fire Pistol Men,1913919
Gold Medal,1,VAAST Kauli,Male,France,Surfing,Men,1567361
Silver Medal,2,ROBINSON Jack,Male,Australia,Surfing,Men,1946129
Bronze Medal,3,MEDINA Gabriel,Male,Brazil,Surfing,Men,1955778
Gold Medal,1,MARKS Caroline,Female,United States,Surfing,Women,1943206
Silver Medal,2,WESTON-WEBB Tatiana,Female,Brazil,Surfing,Women,1955783
Bronze Medal,3,DEFAY Johanne,Female,France,Surfing,Women,1567359
Gold Medal,1,HOCKER Cole,Male,United States,Athletics,Men's 1500m,1960933
Silver Medal,2,KERR Josh,Male,Great Britain,Athletics,Men's 1500m,1924440
Bronze Medal,3,NUGUSE Yared,Male,United States,Athletics,Men's 1500m,1965327
Gold Medal,1,TENTOGLOU Miltiadis,Male,Greece,Athletics,Men's Long Jump,1961246
Silver Medal,2,PINNOCK Wayne,Male,Jamaica,Athletics,Men's Long Jump,1938899
Bronze Medal,3,FURLANI Mattia,Male,Italy,Athletics,Men's Long Jump,1552378
Gold Medal,1,THOMAS Gabrielle,Female,United States,Athletics,Women's 200m,1965868
Silver Medal,2,ALFRED Julien,Female,Saint Lucia,Athletics,Women's 200m,1537325
Bronze Medal,3,BROWN Brittany,Female,United States,Athletics,Women's 200m,1960588
Gold Medal,1,YAVI Winfred,Female,Bahrain,Athletics,Women's 3000m Steeplechase,1926102
Silver Medal,2,CHEMUTAI Peruth,Female,Uganda,Athletics,Women's 3000m Steeplechase,1971686
Bronze Medal,3,CHEROTICH Faith,Female,Kenya,Athletics,Women's 3000m Steeplechase,1910453
Gold Medal,1,ROGERS Camryn,Female,Canada,Athletics,Women's Hammer Throw,1974290
Silver Medal,2,ECHIKUNWOKE Annette Nneka,Female,United States,Athletics,Women's Hammer Throw,1960899
Bronze Medal,3,ZHAO Jie,Female,China,Athletics,Women's Hammer Throw,1919077
Bronze Medal,3,JONES Omari,Male,United States,Boxing,Men's 71kg,1955645
Bronze Medal,3,RICHARDSON Lewis,Male,Great Britain,Boxing,Men's 71kg,1912009
Bronze Medal,3,KYZAIBAY Nazym,Female,Kazakhstan,Boxing,Women's 50kg,1931331
Bronze Medal,3,VILLEGAS Aira,Female,Philippines,Boxing,Women's 50kg,1979870
Gold Medal,1,HARRINGTON Kellie,Female,Ireland,Boxing,Women's 60kg,1555098
Silver Medal,2,YANG Wenlu,Female,China,Boxing,Women's 60kg,1926828
Bronze Medal,3,SUWANNAPHENG Janjaem,Female,Thailand,Boxing,Women's 66kg,1898283
Bronze Medal,3,CHEN Nien Chin,Female,Chinese Taipei,Boxing,Women's 66kg,1887975
Gold Medal,1,QUAN Hongchan,Female,China,Diving,Women's 10m Platform,1901545
Silver Medal,2,CHEN Yuxi,Female,China,Diving,Women's 10m Platform,1901544
Bronze Medal,3,KIM Mi Rae,Female,DPR Korea,Diving,Women's 10m Platform,1980115
Gold Medal,1,KUKUK Christian,Male,Germany,Equestrian,Jumping Individual,1914912
Silver Medal,2,GUERDAT Steve,Male,Switzerland,Equestrian,Jumping Individual,1976553
Bronze Medal,3,van der VLEUTEN Maikel,Male,Netherlands,Equestrian,Jumping Individual,1976879
Gold Medal,1,TREW Arisa,Female,Australia,Skateboarding,Women's Park,1946064
Silver Medal,2,HIRAKI Cocona,Female,Japan,Skateboarding,Women's Park,1902075
Bronze Medal,3,BROWN Sky,Female,Great Britain,Skateboarding,Women's Park,1544123
Gold Medal,1,LOPEZ NUNEZ Mijain,Male,Cuba,Wrestling,Men's Greco-Roman 130kg,1571506
Silver Medal,2,ACOSTA FERNANDEZ Yasmani,Male,Chile,Wrestling,Men's Greco-Roman 130kg,1935199
Bronze Medal,3,MIRZAZADEH Amin,Male,IR Iran,Wrestling,Men's Greco-Roman 130kg,1544882
Bronze Medal,3,MENG Lingzhe,Male,China,Wrestling,Men's Greco-Roman 130kg,1919983
Gold Medal,1,FUMITA Kenichiro,Male,Japan,Wrestling,Men's Greco-Roman 60kg,1939713
Silver Medal,2,CAO Liguo,Male,China,Wrestling,Men's Greco-Roman 60kg,1919973
Bronze Medal,3,SHARSHENBEKOV Zholaman,Male,Kyrgyzstan,Wrestling,Men's Greco-Roman 60kg,1566631
Bronze Medal,3,RI Se Ung,Male,DPR Korea,Wrestling,Men's Greco-Roman 60kg,1980153
Gold Medal,1,ELOR Amit,Female,United States,Wrestling,Women's Freestyle 68kg,1955304
Silver Medal,2,ZHUMANAZAROVA Meerim,Female,Kyrgyzstan,Wrestling,Women's Freestyle 68kg,1568241
Bronze Medal,3,CAVUSOGLU TOSUN Buse,Female,Türkiye,Wrestling,Women's Freestyle 68kg,1570415
Bronze Medal,3,OZAKI Nonoka,Female,Japan,Wrestling,Women's Freestyle 68kg,1939709
Gold Medal,1,EL BAKKALI Soufiane,Male,Morocco,Athletics,Men's 3000m Steeplechase,1555372
Silver Medal,2,ROOKS Kenneth,Male,United States,Athletics,Men's 3000m Steeplechase,1965896
Bronze Medal,3,KIBIWOT Abraham,Male,Kenya,Athletics,Men's 3000m Steeplechase,1910445
Gold Medal,1,HALL Quincy,Male,United States,Athletics,Men's 400m,1960177
Silver Medal,2,HUDSON-SMITH Matthew,Male,Great Britain,Athletics,Men's 400m,1924430
Bronze Medal,3,SAMUKONGA Muzala,Male,Zambia,Athletics,Men's 400m,1937531
Gold Medal,1,STONA Roje,Male,Jamaica,Athletics,Men's Discus Throw,1912322
Silver Medal,2,ALEKNA Mykolas,Male,Lithuania,Athletics,Men's Discus Throw,1922593
Bronze Medal,3,DENNY Matthew,Male,Australia,Athletics,Men's Discus Throw,1939824
Gold Medal,1,KENNEDY Nina,Female,Australia,Athletics,Women's Pole Vault,1939839
Silver Medal,2,MOON Katie,Female,United States,Athletics,Women's Pole Vault,1965268
Bronze Medal,3,NEWMAN Alysha,Female,Canada,Athletics,Women's Pole Vault,1974216
Bronze Medal,3,TIAFACK Nelvie Raman,Male,Germany,Boxing,Men's +92kg,1895903
Bronze Medal,3,ABOUDOU MOINDZE Djamili-Dini,Male,France,Boxing,Men's +92kg,1879120
Gold Medal,1,ALVAREZ BORGES Erislandy,Male,Cuba,Boxing,Men's 63.5kg,1555537
Silver Medal,2,OUMIHA Sofiane,Male,France,Boxing,Men's 63.5kg,1879111
Gold Medal,1,KHYZHNIAK Oleksandr,Male,Ukraine,Boxing,Men's 80kg,1564362
Silver Medal,2,ORALBAY Nurbek,Male,Kazakhstan,Boxing,Men's 80kg,1932824
Bronze Medal,3,YILDIZ KAHRAMAN Esra,Female,Türkiye,Boxing,Women's 57kg,1568204
Bronze Medal,3,PETECIO Nesthy,Female,Philippines,Boxing,Women's 57kg,1979904
Gold Medal,1,WEARN Matt,Male,Australia,Sailing,Men's Dinghy,1945990
Silver Medal,2,KONTIDES Pavlos,Male,Cyprus,Sailing,Men's Dinghy,1905347
Bronze Medal,3,PESCHIERA Stefano,Male,Peru,Sailing,Men's Dinghy,1944316
Gold Medal,1,BOUWMEESTER Marit,Female,Netherlands,Sailing,Women's Dinghy,1970500
Silver Medal,2,RINDOM Anne-Marie,Female,Denmark,Sailing,Women's Dinghy,1895121
Bronze Medal,3,HOEST Line Flem,Female,Norway,Sailing,Women's Dinghy,1878602
Gold Medal,1,PALMER Keegan,Male,Australia,Skateboarding,Men's Park,1946074
Silver Medal,2,SCHAAR Tom,Male,United States,Skateboarding,Men's Park,1944247
Bronze Medal,3,AKIO Augusto,Male,Brazil,Skateboarding,Men's Park,1955669
Gold Medal,1,MIROSLAW Aleksandra,Female,Poland,Sport Climbing,Women's Speed,1563327
Silver Medal,2,DENG Lijuan,Female,China,Sport Climbing,Women's Speed,1913702
Bronze Medal,3,KALUCKA Aleksandra,Female,Poland,Sport Climbing,Women's Speed,1563321
Gold Medal,1,PARK Taejoon,Male,Korea,Taekwondo,Men -58kg,1904040
Silver Medal,2,MAGOMEDOV Gashim,Male,Azerbaijan,Taekwondo,Men -58kg,1946883
Bronze Medal,3,RAVET Cyrian,Male,France,Taekwondo,Men -58kg,1893274
Bronze Medal,3,JENDOUBI Mohamed Khalil,Male,Tunisia,Taekwondo,Men -58kg,1947736
Gold Medal,1,WONGPATTANAKIT Panipak,Female,Thailand,Taekwondo,Women -49kg,1902841
Silver Medal,2,GUO Qing,Female,China,Taekwondo,Women -49kg,1910372
Bronze Medal,3,NEMATZADEH Mobina,Female,IR Iran,Taekwondo,Women -49kg,1536064
Bronze Medal,3,STOJKOVIC Lena,Female,Croatia,Taekwondo,Women -49kg,1569986
Gold Medal,1,LI Fabin,Male,China,Weightlifting,Men's 61kg,1918372
Silver Medal,2,SILACHAI Theerapong,Male,Thailand,Weightlifting,Men's 61kg,1898059
Bronze Medal,3,MORRIS Hampton,Male,United States,Weightlifting,Men's 61kg,1917153
Gold Medal,1,HOU Zhihui,Female,China,Weightlifting,Women's 49kg,1918377
Silver Medal,2,CAMBEI Mihaela Valentina,Female,Romania,Weightlifting,Women's 49kg,1550148
Bronze Medal,3,KHAMBAO Surodchana,Female,Thailand,Weightlifting,Women's 49kg,1898024
Gold Medal,1,KUSAKA Nao,Male,Japan,Wrestling,Men's Greco-Roman 77kg,1939692
Silver Medal,2,ZHADRAYEV Demeu,Male,Kazakhstan,Wrestling,Men's Greco-Roman 77kg,1958652
Bronze Medal,3,AMOYAN Malkhas,Male,Armenia,Wrestling,Men's Greco-Roman 77kg,1532873
Bronze Medal,3,MAKHMUDOV Akzhol,Male,Kyrgyzstan,Wrestling,Men's Greco-Roman 77kg,1566627
Gold Medal,1,SARAVI Mohammadhadi,Male,IR Iran,Wrestling,Men's Greco-Roman 97kg,1544897
Silver Medal,2,ALEKSANYAN Artur,Male,Armenia,Wrestling,Men's Greco-Roman 97kg,1532872
Bronze Medal,3,ROSILLO KINDELAN Gabriel Alejandro,Male,Cuba,Wrestling,Men's Greco-Roman 97kg,1571504
Bronze Medal,3,DZHUZUPBEKOV Uzur,Male,Kyrgyzstan,Wrestling,Men's Greco-Roman 97kg,1566601
Gold Medal,1,HILDEBRANDT Sarah Ann,Female,United States,Wrestling,Women's Freestyle 50kg,1955373
Silver Medal,2,GUZMAN LOPEZ Yusneylis,Female,Cuba,Wrestling,Women's Freestyle 50kg,1571747
Bronze Medal,3,SUSAKI Yui,Female,Japan,Wrestling,Women's Freestyle 50kg,1939712
Bronze Medal,3,FENG Ziqi,Female,China,Wrestling,Women's Freestyle 50kg,1920000
Gold Medal,1,HOLLOWAY Grant,Male,United States,Athletics,Men's 110m Hurdles,1960961
Silver Medal,2,ROBERTS Daniel,Male,United States,Athletics,Men's 110m Hurdles,1965223
Bronze Medal,3,BROADBELL Rasheed,Male,Jamaica,Athletics,Men's 110m Hurdles,1901251
Gold Medal,1,TEBOGO Letsile,Male,Botswana,Athletics,Men's 200m,1936983
Silver Medal,2,BEDNAREK Kenneth,Male,United States,Athletics,Men's 200m,1960659
Bronze Medal,3,LYLES Noah,Male,United States,Athletics,Men's 200m,1960173
Gold Medal,1,NADEEM Arshad,Male,Pakistan,Athletics,Men's Javelin Throw,1878563
Silver Medal,2,CHOPRA Neeraj,Male,India,Athletics,Men's Javelin Throw,1550250
Bronze Medal,3,PETERS Anderson,Male,Grenada,Athletics,Men's Javelin Throw,1573418
Gold Medal,1,McLAUGHLIN-LEVRONE Sydney,Female,United States,Athletics,Women's 400m Hurdles,1965308
Silver Medal,2,COCKRELL Anna,Female,United States,Athletics,Women's 400m Hurdles,1960581
Bronze Medal,3,BOL Femke,Female,Netherlands,Athletics,Women's 400m Hurdles,1972078
Gold Medal,1,DAVIS-WOODHALL Tara,Female,United States,Athletics,Women's Long Jump,1960711
Silver Medal,2,MIHAMBO Malaika,Female,Germany,Athletics,Women's Long Jump,1920175
Bronze Medal,3,MOORE Jasmine,Female,United States,Athletics,Women's Long Jump,1965250
Gold Medal,1,DUSMATOV Hasanboy,Male,Uzbekistan,Boxing,Men's 51kg,1556045
Silver Medal,2,BENNAMA Billal,Male,France,Boxing,Men's 51kg,1879110
Bronze Medal,3,SENIOR Charlie,Male,Australia,Boxing,Men's 57kg,1940136
Bronze Medal,3,IBANEZ DIAZ Javier,Male,Bulgaria,Boxing,Men's 57kg,1555185
Gold Medal,1,CHANG Yuan,Female,China,Boxing,Women's 54kg,1926832
Silver Medal,2,AKBAS Hatice,Female,Türkiye,Boxing,Women's 54kg,1568186
Bronze Medal,3,PARKER Caitlin,Female,Australia,Boxing,Women's 75kg,1940134
Bronze Medal,3,DJANKEU NGAMBA Cindy Winner,Female,Cameroon,Boxing,Women's 75kg,1894537
Gold Medal,1,THOMAS Benjamin,Male,France,Cycling Track,Men's Omnium,1895717
Silver Medal,2,LEITAO Iuri,Male,Portugal,Cycling Track,Men's Omnium,1933816
Bronze Medal,3,van den BOSSCHE Fabio,Male,Belgium,Cycling Track,Men's Omnium,1915370
Gold Medal,1,ANDREWS Ellesse,Female,New Zealand,Cycling Track,Women's Keirin,1945040
Silver Medal,2,van de WOUW Hetty,Female,Netherlands,Cycling Track,Women's Keirin,1969180
Bronze Medal,3,FINUCANE Emma,Female,Great Britain,Cycling Track,Women's Keirin,1912522
Gold Medal,1,XIE Siyi,Male,China,Diving,Men's 3m Springboard,1901550
Silver Medal,2,WANG Zongyuan,Male,China,Diving,Men's 3m Springboard,1901549
Bronze Medal,3,OLVERA IBARRA Osmar,Male,Mexico,Diving,Men's 3m Springboard,1535349
Gold Medal,1,van ROUWENDAAL Sharon,Female,Netherlands,Marathon Swimming,Women's 10km,1972515
Silver Medal,2,JOHNSON Moesha,Female,Australia,Marathon Swimming,Women's 10km,1945588
Bronze Medal,3,TADDEUCCI Ginevra,Female,Italy,Marathon Swimming,Women's 10km,1925804
Gold Medal,1,ALDRIDGE Eleanor,Female,Great Britain,Sailing,Women's Kite,1899728
Silver Medal,2,NOLOT Lauriane,Female,France,Sailing,Women's Kite,1559512
Bronze Medal,3,LAMMERTS Annelous,Female,Netherlands,Sailing,Women's Kite,1970517
Gold Medal,1,LEONARDO Veddriq,Male,Indonesia,Sport Climbing,Men's Speed,1940329
Silver Medal,2,WU Peng,Male,China,Sport Climbing,Men's Speed,1913699
Bronze Medal,3,WATSON Sam,Male,United States,Sport Climbing,Men's Speed,1950309
Gold Medal,1,RASHITOV Ulugbek,Male,Uzbekistan,Taekwondo,Men -68kg,1887714
Silver Medal,2,KAREEM Zaid,Male,Jordan,Taekwondo,Men -68kg,1537401
Bronze Medal,3,LIANG Yushuai,Male,China,Taekwondo,Men -68kg,1910367
Bronze Medal,3,PONTES Edival,Male,Brazil,Taekwondo,Men -68kg,1955815
Gold Medal,1,KIM Yujin,Female,Korea,Taekwondo,Women -57kg,1904038
Silver Medal,2,KIYANICHANDEH Nahid,Female,IR Iran,Taekwondo,Women -57kg,1536067
Bronze Medal,3,PARK Skylar,Female,Canada,Taekwondo,Women -57kg,1966505
Bronze Medal,3,KIMIA Alizadeh,Female,Bulgaria,Taekwondo,Women -57kg,2493835
Gold Medal,1,JUNIANSYAH Rizki,Male,Indonesia,Weightlifting,Men's 73kg,1941786
Silver Medal,2,WICHUMA Weeraphon,Male,Thailand,Weightlifting,Men's 73kg,1898067
Bronze Medal,3,ANDREEV Bozhidar Dimitrov,Male,Bulgaria,Weightlifting,Men's 73kg,1902787
Gold Medal,1,LUO Shifang,Female,China,Weightlifting,Women's 59kg,1918379
Silver Medal,2,CHARRON Maude,Female,Canada,Weightlifting,Women's 59kg,1965815
Bronze Medal,3,KUO Hsing-Chun,Female,Chinese Taipei,Weightlifting,Women's 59kg,1569563
Gold Medal,1,ESMAEILI LEIVESI Saeid,Male,IR Iran,Wrestling,Men's Greco-Roman 67kg,1544928
Silver Medal,2,NASIBOV Parviz,Male,Ukraine,Wrestling,Men's Greco-Roman 67kg,1550119
Bronze Medal,3,JAFAROV Hasrat,Male,Azerbaijan,Wrestling,Men's Greco-Roman 67kg,1981760
Bronze Medal,3,ORTA SANCHEZ Luis Alberto,Male,Cuba,Wrestling,Men's Greco-Roman 67kg,1571498
Gold Medal,1,NOVIKOV Semen Sergeevich,Male,Bulgaria,Wrestling,Men's Greco-Roman 87kg,1559471
Silver Medal,2,MOHMADIPIANI Alireza,Male,IR Iran,Wrestling,Men's Greco-Roman 87kg,1544880
Bronze Medal,3,BELENIUK Zhan,Male,Ukraine,Wrestling,Men's Greco-Roman 87kg,1550116
Bronze Medal,3,BISULTANOV Turpal Ali,Male,Denmark,Wrestling,Men's Greco-Roman 87kg,1879518
Gold Medal,1,FUJINAMI Akari,Female,Japan,Wrestling,Women's Freestyle 53kg,1939711
Silver Medal,2,YEPEZ GUZMAN Lucia Yamileth,Female,Ecuador,Wrestling,Women's Freestyle 53kg,1960228
Bronze Medal,3,CHOE Hyo Gyong,Female,DPR Korea,Wrestling,Women's Freestyle 53kg,1980149
Bronze Medal,3,PANG Qianyu,Female,China,Wrestling,Women's Freestyle 53kg,1920006
Gold Medal,1,BENJAMIN Rai,Male,United States,Athletics,Men's 400m Hurdles,1960684
Silver Medal,2,WARHOLM Karsten,Male,Norway,Athletics,Men's 400m Hurdles,1894095
Bronze Medal,3,dos SANTOS Alison,Male,Brazil,Athletics,Men's 400m Hurdles,1951913
Gold Medal,1,DIAZ FORTUN Jordan Alejandro,Male,Spain,Athletics,Men's Triple Jump,1904099
Silver Medal,2,PICHARDO Pedro,Male,Portugal,Athletics,Men's Triple Jump,1938792
Bronze Medal,3,DIAZ HERNANDEZ Andy,Male,Italy,Athletics,Men's Triple Jump,1552375
Gold Medal,1,CHEBET Beatrice,Female,Kenya,Athletics,"Women's 10,000m",1910560
Silver Medal,2,BATTOCLETTI Nadia,Female,Italy,Athletics,"Women's 10,000m",1552305
Bronze Medal,3,HASSAN Sifan,Female,Netherlands,Athletics,"Women's 10,000m",1972105
Gold Medal,1,PAULINO Marileidy,Female,Dominican Republic,Athletics,Women's 400m,1899666
Silver Medal,2,NASER Salwa Eid,Female,Bahrain,Athletics,Women's 400m,1915338
Bronze Medal,3,KACZMAREK Natalia,Female,Poland,Athletics,Women's 400m,1573098
Gold Medal,1,OGUNLEYE Yemisi,Female,Germany,Athletics,Women's Shot Put,1920183
Silver Medal,2,WESCHE Maddison-Lee,Female,New Zealand,Athletics,Women's Shot Put,1926695
Bronze Medal,3,SONG Jiayuan,Female,China,Athletics,Women's Shot Put,1919065
